MERCHANT NAME,MERCHANT ID,STORE NAME,STORE ID,LEGAL ENTITY,ADDRESS
Lots' A Pizza,334,Lots' A Pizza Evangelista Makati,29e11329-9bdb-4993-8570-66cc961ee587,Matt Lester Food House,Unit 104 Sacred Heart Bldg. Evangelista St. Cor Belarmino St. Brgy Bangkal
Lots' A Pizza,333,Lots' A Pizza Maysilo Mandaluyong,e387cef5-5257-4156-8da3-85934c1b00fd,PARTY CUT PIZZA CO.,"93-A Maysilo St., Brgy. Plainview"
Lots' A Pizza,395,Lots' A Pizza Cavite City,3a1dabf8-a2d7-4a40-b7f4-1a7861d5e36f,Matt Louie Food House,"403 H. del Trabajo St. Brgy. 57 (Repolyo) San Roque , Cavite City"
Lots' A Pizza - Savana,372,Savana Makati,5f9b5a23-16e0-4d1e-8e6a-80a0c8a987dd,Awesome Comfort Foods Inc,"GF Savana Commercial Bldg. 1, 1203 P Ocampo St. cor. Chino Roces Ave, Sta Cruz"
Sultan Mediterranean Grill,356,Sultan Mediterranean Grill Valero Plaza,8f051ded-654d-4123-aa86-87b252232de0,DCLRB328 FOOD INC.,G9 VALERO PLAZA CONDOMINIUM 124 SAN AGUSTIN ST. MAKATI CITY
Meraki by Oh My Greek,#N/A,Meraki by Oh My Greek MOA Square,955c7fc3-fb1e-47d8-84cc-131b29dac661,MERAKI MOA SQUARE INC.,Level 1 Mall of Asia Square 110 Marina Way Mall of Asia Complaex Brgy 78 Pasay City
Sante by Zig,#N/A,Sante by Zig MOA Square,ee8e659a-d0a3-401e-bb64-f7d839277f5b,SANTE MOA SQUARE INC.,Level 1 Mall of Asia Square 111 Marina Way Mall of Asia Complaex Brgy 78 Pasay City
Cafe Mediterranean,351,Cafe Mediterranean Rockwell,8bf63dbb-6159-43b8-8d16-525458ba0dc5,The Cafe Mediterranean Corp,"P1 Level Powerplant Mall, Rockwell Center, Poblacion Makati"
Cafe Mediterranean,353,Cafe Mediterranean Podium,29317404-be69-43ce-b476-13aa6e484a64,The Cafe Mediterranean Corp,ADB Ave. Cor.Ortigas Brgy. Wack Wack Mandaluyong City
Cafe Mediterranean,#N/A,Cafe Mediterranean Greenbelt,31751f90-6b72-4136-8a31-7a16766bd929,Cafe Mediterranean,"Stall 113 Greenbelt 1, Ayala Center San Lorenzo Makati"
Roti Shop,#N/A,Roti Shop Estancia,3ca05c0a-09b1-4ec5-8731-80a78fb1e849,Cafe Mediterranean,"Level 2, Estancia Mall Expansion, Oranbo Pasig City"
Roti Shop,#N/A,Roti Shop Rockwell,226381c9-b911-4797-bc4f-5c870a41b116,Cafe Mediterranean,"Stall P1-008 P1 Level Powerplant Mall, Rockwell Center, Poblacion Makati"
