Merchant Name,Merchant Partnership Type,Merchant Type,Business Address,Email Address
Cyma ,Secondary,Casual Dining,"Cyma Greek Taverna G/F Greenbelt 2, Greenbelt Drive, Makati City ",cyma@gmail.com
3M ,Secondary,Casual Dining,"Ground Flr. MARSK Bldg. 738 Aurora Blvd., Kaunlaran, Quezon City, Philippines","three.mmm@gmail.com, 3m@gmail.com"
Izakaya Sensu,Secondary,Casual Dining,"2276 Pasong Tamo St. Pio Del Pilar , Makati, Philippines",izakaya_sensu@gmail.com
Kenny Rogers Roasters General Trias,Primary,Casual Dining,"Antero Soriano Hwy (in front of Seaoil Gas Station), Bacao II, General Trias, Cavite",kennyrogers_generaltrias@gmail.com
Auntie Anne's,Secondary,Grab & Go,"5th Level, Main Wing, Shangri-La Plaza, EDSA corner Shaw Boulevard, Mandaluyong, Metro Manila","auntie_annes@gmail.com, auntie.annes@gmail.com"
Serenitea,Secondary,Grab & Go," 29 Caltex Ortigas Ave. Ext. Santa Lucia, Pasig City",serenitea@gmail.com
Gong cha,Secondary,Grab & Go,"Space 3025C, Level 3 Abreeza Mall, JP Laurel Avenue, Bajada, Davao City",gongcha@gmail.com
Tim Ho Wan,Secondary,Casual Dining,"Mandaluyong, Philippines",timhowan@gmail.com
Mesa,Primary,Casual Dining,"G/F Greenbelt 5 Legaspi Street Ayala Center, Makati, Luzon Philippines",mesa@gmail.com
Banh Mi Kitchen,Secondary,Grab & Go,"125d Cordillera, Santa Mesa Heights, Quezon City, Philippines",banh_mi_kitchen@gmail.com
Angel's Pizza,Secondary,Casual Dining,"1550 Mayon St, Mandaluyong, NCR, PH",angels.pizza@gmail.com
