Merchant ID,Merchant Name,Legal Entity Name,Store ids,Store Name,Offer ID,Offer Name,Offer Details,Offer Amount,Commission Rate,Vat Inc/Vat Ex,Voucher Type/Offer Type,Merchant Type,Start Date,End Date,Billable Date,Fulfillment Types,Business Address,Email Address
89aeb19e-e193-4763-ad04-57f88ac71195,Izakaya Sensu,"Foodparks By Raintree, Inc.",5e22b6db-0075-421f-a9be-24d14e02ef02,Izakaya Sensu BGC,izakayasensu,izakayasensu,"
₱500 off + 2 Pepsi Cans with a min spend of ₱2500. Available daily. Offer can only be availed by new Booky users. Exclusive for Unionbank Credit Card/Debit Card holders. Available daily from 11am-2pm only",,0%,VAT Ex,Coupled,secondary,2/28/2024,,8/28/2024,#N/A,,
e7efbbd3-f785-4884-94b2-177c5d2c7e47,Daniel's Bakery Cafe,Oven Project Inc,f3c0ede0-3182-48c5-ad65-ecd811a5064d,Daniel's Bakery Cafe Holy Spirit,DANIELS10OFF,DANIELS10OFF,"10% Off on Total Bill, No Minimum Spend 

*Availability: Monday-Sunday, 10AM-5PM",,10%,VAT Inc.,,secondary,11/29/2023,,12/29/2023,"MAPS, Pepsi",,
8fc6a6b9-424e-4933-99bf-04c5b3338f2b,Kenny Rogers,Foodscapes Ventures Corporation,763a5da5-e0ea-4fdd-9d4a-12bc015bda23,Kenny Rogers SM Sucat,,,,,,,"DELIVERY-3PL, PICK-UP, DELIVERY-INHOUSE",primary,,,,"DELIVERY-3PL, PICK-UP, DELIVERY-INHOUSE",,
cea81ff3-834b-4841-9aa0-f27149330dc1,Cyma ,Tessera Cyma Greek Estiatorio Corp,9a767b27-5e19-4c4c-ba19-cdeaa440f459,Cyma Trinoma,300CYMA,300CYMA,"P300 off subject to P3,000 min. spend
unlimited redemption
Mon-Fri, 2-5PM",,6%,VAT Ex,Coupled,secondary,03/01/2024,,06/01/2024,"LEAD GEN , MAPS",,
cea81ff3-834b-4841-9aa0-f27149330dc1,Cyma ,Protos Cyma Greek Taverna Corp,6a445805-b4dd-42df-8249-736333c7756d,Cyma Shangri-La,300CYMA,300CYMA,"P300 off subject to P3,000 min. spend
unlimited redemption
Mon-Fri, 2-5PM",,6%,VAT Ex,Coupled,secondary,03/01/2024,,06/01/2024,"LEAD GEN , MAPS",,
95d2bebb-43dd-420f-b086-8b2740f79986,3M ,Pinoy 888 Pizza Franchise Corp.,af7ec249-417a-49a1-9c48-5dd06ce132ef,3M Pizza Banawe,,,,,,,"MAPS, PEPSI",secondary,,,,"MAPS, PEPSI",,
95d2bebb-43dd-420f-b086-8b2740f79986,3M Pizza ,Pinoy 888 Pizza Franchise Corp.,410ac7d2-fd1c-434f-8293-86f7ba92f5cf,3M Pizza Visayas QC,,,,,,,"MAPS, PEPSI",secondary,,,,"MAPS, PEPSI",,
95d2bebb-43dd-420f-b086-8b2740f79986,3M Pizza ,Pinoy 888 Pizza Franchise Corp.,29118565-7c5e-4aff-a075-25f9f362f11e,3M Pizza New Manila QC,,,,,,,"MAPS, PEPSI",secondary,,,,"MAPS, PEPSI",,
cea81ff3-834b-4841-9aa0-f27149330dc1,Cyma Eastwood,Ektos Cyma Greek Taverna Corp,e8acd1d8-8314-4335-b4af-ccff6b08dd4d,Cyma Eastwood,300CYMA,300CYMA,"P300 off subject to P3,000 min. spend
unlimited redemption
Mon-Fri, 2-5PM",,6%,VAT Ex,Coupled,secondary,03/01/2024,,06/01/2024,"LEAD GEN , MAPS",,
9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen (CO),Banh Mi Kitchen Services Inc.,"e229da36-2679-4ca2-904d-8a2dbc0871fe,1a6e2cf9-cd44-4a1d-bc86-44ced97c16b1,fb14b7c1-739c-4fb1-aa48-194eb2eec0db,d863d6b4-4ab1-4fa6-ad10-5a39a031ff63",Banh Mi Kitchen (CO),"BMKN199 , PEPSILECHON","BMKN199 , PEPSILECHON","1.BOGO: Buy One The Classic Full for P199 and Get One Fish Fillet Full the same price. 
Discounted SRP – P199 + P199 = P398       2. ""Premium Creations Lechon Bánh Mì with Pepsi Lime for P329
(Spicy Lechon Bánh Mì and Lechon Baka Bánh Mì)""",199 and 329,10%,VAT Inc.,,secondary,,,,"3PL, QR ORDERING, MAPS",,
9f8d0113-5719-4994-bb9d-03fea73f8644,Banh Mi Kitchen Ayala Feliz,Bitecrunch Inc.,781cc418-5450-47ab-86ca-531be8c9ca09,Banh Mi Kitchen Ayala Feliz,"BMKN199 , PEPSILECHON","BMKN199 , PEPSILECHON","1.BOGO: Buy One The Classic Full for P199 and Get One Fish Fillet Full the same price. 
Discounted SRP – P199 + P199 = P398       2. ""Premium Creations Lechon Bánh Mì with Pepsi Lime for P329
(Spicy Lechon Bánh Mì and Lechon Baka Bánh Mì)""",199 and 329,10%,VAT Inc.,,secondary,,,,"3PL, QR ORDERING, MAPS",,
8fc6a6b9-424e-4933-99bf-04c5b3338f2b,Kenny Rogers Xentromall Antipolo,Antipolo Casa Rotisseur Corporation,c5da8401-0c58-4b82-987f-81c12706e423,Kenny Rogers Xentromall Antipolo,,,,,,,"DELIVERY-3PL, PICK-UP, DELIVERY-INHOUSE",primary,,,,"DELIVERY-3PL, PICK-UP, DELIVERY-INHOUSE",,
e908b20f-a891-4fee-b01f-a12fc708ee93,Gram Cafe and Pancakes Serendra,"Making Fine Beverages, Corp. ",5a2b3056-e107-4965-9119-0bbdbe67ec34,Gram Cafe and Pancakes Serendra,,,,,,,"LEAD GEN , MAPS",secondary,,,,"LEAD GEN , MAPS",,
17c90d47-39cd-4c8a-813b-32226b3fef59,Crisostomo,,"4c975ee-c1af-4886-a8f6-21e26c310834,a1bb89d7-c667-4d3f-967c-47047a42bd14,65847a55-e66f-489e-81f2-b35fae8fa6ba,f5b1c3fe-1771-4408-9f5d-520ad5e42cca,442c9341-d73d-4db7-afba-9251b570497c,4bcf5181-f936-4037-a2a2-56774601d8f5,c96840f1-1f49-4369-ae04-c9eac8c4ad73,c90df380-7d42-4bd9-a432-0791442f26ea,f711fbac-2a20-4331-99ba-25a3ef3616c2,3d8cdcda-98a6-44d9-b024-bdbd5d967102,493f09c6-fd8b-4399-a795-2c8a06be8a9f,757a35ee-7fcf-4e17-9acf-1f8c542caaef",Crisostomo,Unionbank-Exclusive: P300 off of your Filipono Feast,Unionbank-Exclusive: P300 off of your Filipono Feast,"300 of minimum P,500 2-5 pm only . Exclusive to Unionbank ( Not applicable on holidays)",,8%,,Coupled,secondary,,,,"LEAD GEN , MAPS",,
a597e4a6-a6d4-457b-a2f3-820c95f62211,Nikkei Robata,NIKKEI NEWPORT INC,39bb7fd3-850f-4043-b9bd-c697a1955387,Nikkei Robata,,,"25% Off on Ala Carte Regular Menu Items
Valid from Monday - Thursday from 11am-4pm
Exclusive to Unionbank and Citibank Card Holders
Can only be claimed in Nikkei Robata Newport branch",,10%,VAT Ex,Coupled,secondary,2/28/2024,,5/28/2024,"LEAD GEN , MAPS",,
0b314f59-f118-49fe-92a7-aea26a497d05,Big Belly Burgers,BARCELONA BURGER INC,f6ac17c5-bf96-4eae-9335-0c51b8cd6c02,Big Belly Burgers,,,"25% Off on Ala Carte Regular Menu Items

Valid from Monday - Thursday from 3pm-6pm
Exclusive to Unionbank and Citibank Card Holders
5% Transaction Fee is waived for the first three months
For Payment MDR, Booky will match with our existing Card Terminal
Can only be claimed in their BGC branch",,10%,VAT Ex,Coupled,secondary,2/28/2024,,5/28/2024,"LEAD GEN , MAPS",,
cdb535fd-45fe-4a41-8080-4e6714801503,Terroir Wine Quezon City,Terroir Wine Merchant Corporation,2a78bc44-28ff-4026-a7dc-cf695f237ea4,Terroir Wine Quezon City,,,,,,,"MAPS, PEPSI",secondary,,,,"MAPS, PEPSI",,
